cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,visname,paramnum,visname,paramnum,visname
mix,mix,0.5,Mix,0,Mix,2,Mix
size,size,0.330000042915344,Size,1,Size,3,Size
brightness,brightness,0.660000085830689,Brightness,2,Brightness,4,Brightness
