cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
distortion_type,distortion_type,0,0,5,Distortion Type,46,Distortion Type,46,Distortion Type
effect_chain_order,effect_chain_order,0,0,362879,Effect Chain Order,47,Effect Chain Order,47,Effect Chain Order
env_1_attack,env_1_attack,0.149499997496605,0,2.37842011451721,Envelope 1 Attack,48,Envelope 1 Attack,48,Envelope 1 Attack
env_1_attack_power,env_1_attack_power,0,-20,20,Envelope 1 Attack Power,49,Envelope 1 Attack Power,49,Envelope 1 Attack Power
env_1_decay,env_1_decay,1,0,2.37842011451721,Envelope 1 Decay,50,Envelope 1 Decay,50,Envelope 1 Decay
env_1_decay_power,env_1_decay_power,-2,-20,20,Envelope 1 Decay Power,51,Envelope 1 Decay Power,51,Envelope 1 Decay Power
env_1_delay,env_1_delay,0,0,1.41421353816986,Envelope 1 Delay,536,Envelope 1 Delay,536,Envelope 1 Delay
env_1_hold,env_1_hold,0,0,1.41421353816986,Envelope 1 Hold,542,Envelope 1 Hold,542,Envelope 1 Hold
env_1_release,env_1_release,0.547599971294403,0,2.37842011451721,Envelope 1 Release,52,Envelope 1 Release,52,Envelope 1 Release
env_1_release_power,env_1_release_power,-2,-20,20,Envelope 1 Release Power,53,Envelope 1 Release Power,53,Envelope 1 Release Power
env_1_sustain,env_1_sustain,1,0,1,Envelope 1 Sustain,54,Envelope 1 Sustain,54,Envelope 1 Sustain
env_2_attack,env_2_attack,0.149499997496605,0,2.37842011451721,Envelope 2 Attack,55,Envelope 2 Attack,55,Envelope 2 Attack
env_2_attack_power,env_2_attack_power,0,-20,20,Envelope 2 Attack Power,56,Envelope 2 Attack Power,56,Envelope 2 Attack Power
env_2_decay,env_2_decay,1,0,2.37842011451721,Envelope 2 Decay,57,Envelope 2 Decay,57,Envelope 2 Decay
env_2_decay_power,env_2_decay_power,-2,-20,20,Envelope 2 Decay Power,58,Envelope 2 Decay Power,58,Envelope 2 Decay Power
env_2_delay,env_2_delay,0,0,1.41421353816986,Envelope 2 Delay,537,Envelope 2 Delay,537,Envelope 2 Delay
env_2_hold,env_2_hold,0,0,1.41421353816986,Envelope 2 Hold,543,Envelope 2 Hold,543,Envelope 2 Hold
env_2_release,env_2_release,0.547599971294403,0,2.37842011451721,Envelope 2 Release,59,Envelope 2 Release,59,Envelope 2 Release
env_2_release_power,env_2_release_power,-2,-20,20,Envelope 2 Release Power,60,Envelope 2 Release Power,60,Envelope 2 Release Power
env_2_sustain,env_2_sustain,1,0,1,Envelope 2 Sustain,61,Envelope 2 Sustain,61,Envelope 2 Sustain
env_3_attack,env_3_attack,0.149499997496605,0,2.37842011451721,Envelope 3 Attack,62,Envelope 3 Attack,62,Envelope 3 Attack
env_3_attack_power,env_3_attack_power,0,-20,20,Envelope 3 Attack Power,63,Envelope 3 Attack Power,63,Envelope 3 Attack Power
env_3_decay,env_3_decay,1,0,2.37842011451721,Envelope 3 Decay,64,Envelope 3 Decay,64,Envelope 3 Decay
env_3_decay_power,env_3_decay_power,-2,-20,20,Envelope 3 Decay Power,65,Envelope 3 Decay Power,65,Envelope 3 Decay Power
env_3_delay,env_3_delay,0,0,1.41421353816986,Envelope 3 Delay,538,Envelope 3 Delay,538,Envelope 3 Delay
env_3_hold,env_3_hold,0,0,1.41421353816986,Envelope 3 Hold,544,Envelope 3 Hold,544,Envelope 3 Hold
env_3_release,env_3_release,0.547599971294403,0,2.37842011451721,Envelope 3 Release,66,Envelope 3 Release,66,Envelope 3 Release
env_3_release_power,env_3_release_power,-2,-20,20,Envelope 3 Release Power,67,Envelope 3 Release Power,67,Envelope 3 Release Power
env_3_sustain,env_3_sustain,1,0,1,Envelope 3 Sustain,68,Envelope 3 Sustain,68,Envelope 3 Sustain
env_4_attack,env_4_attack,0.149499997496605,0,2.37842011451721,Envelope 4 Attack,69,Envelope 4 Attack,69,Envelope 4 Attack
env_4_attack_power,env_4_attack_power,0,-20,20,Envelope 4 Attack Power,70,Envelope 4 Attack Power,70,Envelope 4 Attack Power
env_4_decay,env_4_decay,1,0,2.37842011451721,Envelope 4 Decay,71,Envelope 4 Decay,71,Envelope 4 Decay
env_4_decay_power,env_4_decay_power,-2,-20,20,Envelope 4 Decay Power,72,Envelope 4 Decay Power,72,Envelope 4 Decay Power
env_4_delay,env_4_delay,0,0,1.41421353816986,Envelope 4 Delay,539,Envelope 4 Delay,539,Envelope 4 Delay
env_4_hold,env_4_hold,0,0,1.41421353816986,Envelope 4 Hold,545,Envelope 4 Hold,545,Envelope 4 Hold
env_4_release,env_4_release,0.547599971294403,0,2.37842011451721,Envelope 4 Release,73,Envelope 4 Release,73,Envelope 4 Release
env_4_release_power,env_4_release_power,-2,-20,20,Envelope 4 Release Power,74,Envelope 4 Release Power,74,Envelope 4 Release Power
env_4_sustain,env_4_sustain,1,0,1,Envelope 4 Sustain,75,Envelope 4 Sustain,75,Envelope 4 Sustain
env_5_attack,env_5_attack,0.149499997496605,0,2.37842011451721,Envelope 5 Attack,76,Envelope 5 Attack,76,Envelope 5 Attack
env_5_attack_power,env_5_attack_power,0,-20,20,Envelope 5 Attack Power,77,Envelope 5 Attack Power,77,Envelope 5 Attack Power
env_5_decay,env_5_decay,1,0,2.37842011451721,Envelope 5 Decay,78,Envelope 5 Decay,78,Envelope 5 Decay
env_5_decay_power,env_5_decay_power,-2,-20,20,Envelope 5 Decay Power,79,Envelope 5 Decay Power,79,Envelope 5 Decay Power
env_5_delay,env_5_delay,0,0,1.41421353816986,Envelope 5 Delay,540,Envelope 5 Delay,540,Envelope 5 Delay
env_5_hold,env_5_hold,0,0,1.41421353816986,Envelope 5 Hold,546,Envelope 5 Hold,546,Envelope 5 Hold
env_5_release,env_5_release,0.547599971294403,0,2.37842011451721,Envelope 5 Release,80,Envelope 5 Release,80,Envelope 5 Release
env_5_release_power,env_5_release_power,-2,-20,20,Envelope 5 Release Power,81,Envelope 5 Release Power,81,Envelope 5 Release Power
env_5_sustain,env_5_sustain,1,0,1,Envelope 5 Sustain,82,Envelope 5 Sustain,82,Envelope 5 Sustain
env_6_attack,env_6_attack,0.149499997496605,0,2.37842011451721,Envelope 6 Attack,83,Envelope 6 Attack,83,Envelope 6 Attack
env_6_attack_power,env_6_attack_power,0,-20,20,Envelope 6 Attack Power,84,Envelope 6 Attack Power,84,Envelope 6 Attack Power
env_6_decay,env_6_decay,1,0,2.37842011451721,Envelope 6 Decay,85,Envelope 6 Decay,85,Envelope 6 Decay
env_6_decay_power,env_6_decay_power,-2,-20,20,Envelope 6 Decay Power,86,Envelope 6 Decay Power,86,Envelope 6 Decay Power
env_6_delay,env_6_delay,0,0,1.41421353816986,Envelope 6 Delay,541,Envelope 6 Delay,541,Envelope 6 Delay
