cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
lfo_4_delay_time,lfo_4_delay_time,0,0,4,LFO 4 Delay,176,LFO 4 Delay,176,LFO 4 Delay
lfo_4_fade_time,lfo_4_fade_time,0,0,8,LFO 4 Fade In,177,LFO 4 Fade In,177,LFO 4 Fade In
lfo_4_frequency,lfo_4_frequency,1,-7,9,LFO 4 Frequency,178,LFO 4 Frequency,178,LFO 4 Frequency
lfo_4_keytrack_transpose,lfo_4_keytrack_transpose,-12,-60,36,LFO 4 Transpose,734,LFO 4 Transpose,734,LFO 4 Transpose
lfo_4_keytrack_tune,lfo_4_keytrack_tune,0,-1,1,LFO 4 Tune,735,LFO 4 Tune,735,LFO 4 Tune
lfo_4_phase,lfo_4_phase,0,0,1,LFO 4 Phase,179,LFO 4 Phase,179,LFO 4 Phase
lfo_4_smooth_mode,lfo_4_smooth_mode,1,0,1,LFO 4 Smooth Mode,761,LFO 4 Smooth Mode,761,LFO 4 Smooth Mode
lfo_4_smooth_time,lfo_4_smooth_time,-7.5,-10,4,LFO 4 Smooth Time,762,LFO 4 Smooth Time,762,LFO 4 Smooth Time
lfo_4_stereo,lfo_4_stereo,0,-0.5,0.5,LFO 4 Stereo,490,LFO 4 Stereo,490,LFO 4 Stereo
lfo_4_sync,lfo_4_sync,1,0,4,LFO 4 Sync,180,LFO 4 Sync,180,LFO 4 Sync
lfo_4_sync_type,lfo_4_sync_type,0,0,6,LFO 4 Sync Type,181,LFO 4 Sync Type,181,LFO 4 Sync Type
lfo_4_tempo,lfo_4_tempo,7,0,12,LFO 4 Tempo,182,LFO 4 Tempo,182,LFO 4 Tempo
lfo_5_delay_time,lfo_5_delay_time,0,0,4,LFO 5 Delay,183,LFO 5 Delay,183,LFO 5 Delay
lfo_5_fade_time,lfo_5_fade_time,0,0,8,LFO 5 Fade In,184,LFO 5 Fade In,184,LFO 5 Fade In
lfo_5_frequency,lfo_5_frequency,1,-7,9,LFO 5 Frequency,185,LFO 5 Frequency,185,LFO 5 Frequency
lfo_5_keytrack_transpose,lfo_5_keytrack_transpose,-12,-60,36,LFO 5 Transpose,736,LFO 5 Transpose,736,LFO 5 Transpose
lfo_5_keytrack_tune,lfo_5_keytrack_tune,0,-1,1,LFO 5 Tune,737,LFO 5 Tune,737,LFO 5 Tune
lfo_5_phase,lfo_5_phase,0,0,1,LFO 5 Phase,186,LFO 5 Phase,186,LFO 5 Phase
lfo_5_smooth_mode,lfo_5_smooth_mode,1,0,1,LFO 5 Smooth Mode,763,LFO 5 Smooth Mode,763,LFO 5 Smooth Mode
lfo_5_smooth_time,lfo_5_smooth_time,-7.5,-10,4,LFO 5 Smooth Time,764,LFO 5 Smooth Time,764,LFO 5 Smooth Time
lfo_5_stereo,lfo_5_stereo,0,-0.5,0.5,LFO 5 Stereo,491,LFO 5 Stereo,491,LFO 5 Stereo
lfo_5_sync,lfo_5_sync,1,0,4,LFO 5 Sync,187,LFO 5 Sync,187,LFO 5 Sync
lfo_5_sync_type,lfo_5_sync_type,0,0,6,LFO 5 Sync Type,188,LFO 5 Sync Type,188,LFO 5 Sync Type
lfo_5_tempo,lfo_5_tempo,7,0,12,LFO 5 Tempo,189,LFO 5 Tempo,189,LFO 5 Tempo
lfo_6_delay_time,lfo_6_delay_time,0,0,4,LFO 6 Delay,190,LFO 6 Delay,190,LFO 6 Delay
lfo_6_fade_time,lfo_6_fade_time,0,0,8,LFO 6 Fade In,191,LFO 6 Fade In,191,LFO 6 Fade In
lfo_6_frequency,lfo_6_frequency,1,-7,9,LFO 6 Frequency,192,LFO 6 Frequency,192,LFO 6 Frequency
lfo_6_keytrack_transpose,lfo_6_keytrack_transpose,-12,-60,36,LFO 6 Transpose,738,LFO 6 Transpose,738,LFO 6 Transpose
lfo_6_keytrack_tune,lfo_6_keytrack_tune,0,-1,1,LFO 6 Tune,739,LFO 6 Tune,739,LFO 6 Tune
lfo_6_phase,lfo_6_phase,0,0,1,LFO 6 Phase,193,LFO 6 Phase,193,LFO 6 Phase
lfo_6_smooth_mode,lfo_6_smooth_mode,1,0,1,LFO 6 Smooth Mode,765,LFO 6 Smooth Mode,765,LFO 6 Smooth Mode
lfo_6_smooth_time,lfo_6_smooth_time,-7.5,-10,4,LFO 6 Smooth Time,766,LFO 6 Smooth Time,766,LFO 6 Smooth Time
lfo_6_stereo,lfo_6_stereo,0,-0.5,0.5,LFO 6 Stereo,492,LFO 6 Stereo,492,LFO 6 Stereo
lfo_6_sync,lfo_6_sync,1,0,4,LFO 6 Sync,194,LFO 6 Sync,194,LFO 6 Sync
lfo_6_sync_type,lfo_6_sync_type,0,0,6,LFO 6 Sync Type,195,LFO 6 Sync Type,195,LFO 6 Sync Type
lfo_6_tempo,lfo_6_tempo,7,0,12,LFO 6 Tempo,196,LFO 6 Tempo,196,LFO 6 Tempo
lfo_7_delay_time,lfo_7_delay_time,0,0,4,LFO 7 Delay,197,LFO 7 Delay,197,LFO 7 Delay
lfo_7_fade_time,lfo_7_fade_time,0,0,8,LFO 7 Fade In,198,LFO 7 Fade In,198,LFO 7 Fade In
lfo_7_frequency,lfo_7_frequency,1,-7,9,LFO 7 Frequency,199,LFO 7 Frequency,199,LFO 7 Frequency
lfo_7_keytrack_transpose,lfo_7_keytrack_transpose,-12,-60,36,LFO 7 Transpose,740,LFO 7 Transpose,740,LFO 7 Transpose
lfo_7_keytrack_tune,lfo_7_keytrack_tune,0,-1,1,LFO 7 Tune,741,LFO 7 Tune,741,LFO 7 Tune
lfo_7_phase,lfo_7_phase,0,0,1,LFO 7 Phase,200,LFO 7 Phase,200,LFO 7 Phase
lfo_7_smooth_mode,lfo_7_smooth_mode,1,0,1,LFO 7 Smooth Mode,767,LFO 7 Smooth Mode,767,LFO 7 Smooth Mode
lfo_7_smooth_time,lfo_7_smooth_time,-7.5,-10,4,LFO 7 Smooth Time,768,LFO 7 Smooth Time,768,LFO 7 Smooth Time
lfo_7_stereo,lfo_7_stereo,0,-0.5,0.5,LFO 7 Stereo,493,LFO 7 Stereo,493,LFO 7 Stereo
lfo_7_sync,lfo_7_sync,1,0,4,LFO 7 Sync,201,LFO 7 Sync,201,LFO 7 Sync
lfo_7_sync_type,lfo_7_sync_type,0,0,6,LFO 7 Sync Type,202,LFO 7 Sync Type,202,LFO 7 Sync Type
lfo_7_tempo,lfo_7_tempo,7,0,12,LFO 7 Tempo,203,LFO 7 Tempo,203,LFO 7 Tempo
lfo_8_delay_time,lfo_8_delay_time,0,0,4,LFO 8 Delay,204,LFO 8 Delay,204,LFO 8 Delay
lfo_8_fade_time,lfo_8_fade_time,0,0,8,LFO 8 Fade In,205,LFO 8 Fade In,205,LFO 8 Fade In
lfo_8_frequency,lfo_8_frequency,1,-7,9,LFO 8 Frequency,206,LFO 8 Frequency,206,LFO 8 Frequency
lfo_8_keytrack_transpose,lfo_8_keytrack_transpose,-12,-60,36,LFO 8 Transpose,742,LFO 8 Transpose,742,LFO 8 Transpose
lfo_8_keytrack_tune,lfo_8_keytrack_tune,0,-1,1,LFO 8 Tune,743,LFO 8 Tune,743,LFO 8 Tune
lfo_8_phase,lfo_8_phase,0,0,1,LFO 8 Phase,207,LFO 8 Phase,207,LFO 8 Phase
lfo_8_smooth_mode,lfo_8_smooth_mode,1,0,1,LFO 8 Smooth Mode,769,LFO 8 Smooth Mode,769,LFO 8 Smooth Mode
lfo_8_smooth_time,lfo_8_smooth_time,-7.5,-10,4,LFO 8 Smooth Time,770,LFO 8 Smooth Time,770,LFO 8 Smooth Time
lfo_8_stereo,lfo_8_stereo,0,-0.5,0.5,LFO 8 Stereo,494,LFO 8 Stereo,494,LFO 8 Stereo
lfo_8_sync,lfo_8_sync,1,0,4,LFO 8 Sync,208,LFO 8 Sync,208,LFO 8 Sync
lfo_8_sync_type,lfo_8_sync_type,0,0,6,LFO 8 Sync Type,209,LFO 8 Sync Type,209,LFO 8 Sync Type
lfo_8_tempo,lfo_8_tempo,7,0,12,LFO 8 Tempo,210,LFO 8 Tempo,210,LFO 8 Tempo
macro_control_1,macro_control_1,0,0,1,Macro 1,211,Macro 1,211,Macro 1
macro_control_2,macro_control_2,0,0,1,Macro 2,212,Macro 2,212,Macro 2
macro_control_3,macro_control_3,0,0,1,Macro 3,213,Macro 3,213,Macro 3
macro_control_4,macro_control_4,0,0,1,Macro 4,214,Macro 4,214,Macro 4
mod_wheel,mod_wheel,0,0,1,Mod Wheel,463,Mod Wheel,463,Mod Wheel
modulation_1_amount,modulation_1_amount,0,-1,1,Modulation 1 Amount,265,Modulation 1 Amount,265,Modulation 1 Amount
modulation_1_bipolar,modulation_1_bipolar,0,0,1,Modulation 1 Bipolar,266,Modulation 1 Bipolar,266,Modulation 1 Bipolar
modulation_1_bypass,modulation_1_bypass,0,0,1,Modulation 1 Bypass,267,Modulation 1 Bypass,267,Modulation 1 Bypass
modulation_1_power,modulation_1_power,0,-10,10,Modulation 1 Power,268,Modulation 1 Power,268,Modulation 1 Power
modulation_1_stereo,modulation_1_stereo,0,0,1,Modulation 1 Stereo,269,Modulation 1 Stereo,269,Modulation 1 Stereo
modulation_10_amount,modulation_10_amount,0,-1,1,Modulation 10 Amount,215,Modulation 10 Amount,215,Modulation 10 Amount
modulation_10_bipolar,modulation_10_bipolar,0,0,1,Modulation 10 Bipolar,216,Modulation 10 Bipolar,216,Modulation 10 Bipolar
modulation_10_bypass,modulation_10_bypass,0,0,1,Modulation 10 Bypass,217,Modulation 10 Bypass,217,Modulation 10 Bypass
modulation_10_power,modulation_10_power,0,-10,10,Modulation 10 Power,218,Modulation 10 Power,218,Modulation 10 Power
modulation_10_stereo,modulation_10_stereo,0,0,1,Modulation 10 Stereo,219,Modulation 10 Stereo,219,Modulation 10 Stereo
modulation_11_amount,modulation_11_amount,0,-1,1,Modulation 11 Amount,220,Modulation 11 Amount,220,Modulation 11 Amount
modulation_11_bipolar,modulation_11_bipolar,0,0,1,Modulation 11 Bipolar,221,Modulation 11 Bipolar,221,Modulation 11 Bipolar
modulation_11_bypass,modulation_11_bypass,0,0,1,Modulation 11 Bypass,222,Modulation 11 Bypass,222,Modulation 11 Bypass
modulation_11_power,modulation_11_power,0,-10,10,Modulation 11 Power,223,Modulation 11 Power,223,Modulation 11 Power
modulation_11_stereo,modulation_11_stereo,0,0,1,Modulation 11 Stereo,224,Modulation 11 Stereo,224,Modulation 11 Stereo
modulation_12_amount,modulation_12_amount,0,-1,1,Modulation 12 Amount,225,Modulation 12 Amount,225,Modulation 12 Amount
modulation_12_bipolar,modulation_12_bipolar,0,0,1,Modulation 12 Bipolar,226,Modulation 12 Bipolar,226,Modulation 12 Bipolar
modulation_12_bypass,modulation_12_bypass,0,0,1,Modulation 12 Bypass,227,Modulation 12 Bypass,227,Modulation 12 Bypass
modulation_12_power,modulation_12_power,0,-10,10,Modulation 12 Power,228,Modulation 12 Power,228,Modulation 12 Power
modulation_12_stereo,modulation_12_stereo,0,0,1,Modulation 12 Stereo,229,Modulation 12 Stereo,229,Modulation 12 Stereo
modulation_13_amount,modulation_13_amount,0,-1,1,Modulation 13 Amount,230,Modulation 13 Amount,230,Modulation 13 Amount
modulation_13_bipolar,modulation_13_bipolar,0,0,1,Modulation 13 Bipolar,231,Modulation 13 Bipolar,231,Modulation 13 Bipolar
modulation_13_bypass,modulation_13_bypass,0,0,1,Modulation 13 Bypass,232,Modulation 13 Bypass,232,Modulation 13 Bypass
modulation_13_power,modulation_13_power,0,-10,10,Modulation 13 Power,233,Modulation 13 Power,233,Modulation 13 Power
modulation_13_stereo,modulation_13_stereo,0,0,1,Modulation 13 Stereo,234,Modulation 13 Stereo,234,Modulation 13 Stereo
modulation_14_amount,modulation_14_amount,0,-1,1,Modulation 14 Amount,235,Modulation 14 Amount,235,Modulation 14 Amount
modulation_14_bipolar,modulation_14_bipolar,0,0,1,Modulation 14 Bipolar,236,Modulation 14 Bipolar,236,Modulation 14 Bipolar
modulation_14_bypass,modulation_14_bypass,0,0,1,Modulation 14 Bypass,237,Modulation 14 Bypass,237,Modulation 14 Bypass
modulation_14_power,modulation_14_power,0,-10,10,Modulation 14 Power,238,Modulation 14 Power,238,Modulation 14 Power
modulation_14_stereo,modulation_14_stereo,0,0,1,Modulation 14 Stereo,239,Modulation 14 Stereo,239,Modulation 14 Stereo
modulation_15_amount,modulation_15_amount,0,-1,1,Modulation 15 Amount,240,Modulation 15 Amount,240,Modulation 15 Amount
modulation_15_bipolar,modulation_15_bipolar,0,0,1,Modulation 15 Bipolar,241,Modulation 15 Bipolar,241,Modulation 15 Bipolar
modulation_15_bypass,modulation_15_bypass,0,0,1,Modulation 15 Bypass,242,Modulation 15 Bypass,242,Modulation 15 Bypass
modulation_15_power,modulation_15_power,0,-10,10,Modulation 15 Power,243,Modulation 15 Power,243,Modulation 15 Power
modulation_15_stereo,modulation_15_stereo,0,0,1,Modulation 15 Stereo,244,Modulation 15 Stereo,244,Modulation 15 Stereo
modulation_16_amount,modulation_16_amount,0,-1,1,Modulation 16 Amount,245,Modulation 16 Amount,245,Modulation 16 Amount
modulation_16_bipolar,modulation_16_bipolar,0,0,1,Modulation 16 Bipolar,246,Modulation 16 Bipolar,246,Modulation 16 Bipolar
modulation_16_bypass,modulation_16_bypass,0,0,1,Modulation 16 Bypass,247,Modulation 16 Bypass,247,Modulation 16 Bypass
modulation_16_power,modulation_16_power,0,-10,10,Modulation 16 Power,248,Modulation 16 Power,248,Modulation 16 Power
modulation_16_stereo,modulation_16_stereo,0,0,1,Modulation 16 Stereo,249,Modulation 16 Stereo,249,Modulation 16 Stereo
modulation_17_amount,modulation_17_amount,0,-1,1,Modulation 17 Amount,250,Modulation 17 Amount,250,Modulation 17 Amount
modulation_17_bipolar,modulation_17_bipolar,0,0,1,Modulation 17 Bipolar,251,Modulation 17 Bipolar,251,Modulation 17 Bipolar
modulation_17_bypass,modulation_17_bypass,0,0,1,Modulation 17 Bypass,252,Modulation 17 Bypass,252,Modulation 17 Bypass
modulation_17_power,modulation_17_power,0,-10,10,Modulation 17 Power,253,Modulation 17 Power,253,Modulation 17 Power
modulation_17_stereo,modulation_17_stereo,0,0,1,Modulation 17 Stereo,254,Modulation 17 Stereo,254,Modulation 17 Stereo
modulation_18_amount,modulation_18_amount,0,-1,1,Modulation 18 Amount,255,Modulation 18 Amount,255,Modulation 18 Amount
modulation_18_bipolar,modulation_18_bipolar,0,0,1,Modulation 18 Bipolar,256,Modulation 18 Bipolar,256,Modulation 18 Bipolar
modulation_18_bypass,modulation_18_bypass,0,0,1,Modulation 18 Bypass,257,Modulation 18 Bypass,257,Modulation 18 Bypass
modulation_18_power,modulation_18_power,0,-10,10,Modulation 18 Power,258,Modulation 18 Power,258,Modulation 18 Power
modulation_18_stereo,modulation_18_stereo,0,0,1,Modulation 18 Stereo,259,Modulation 18 Stereo,259,Modulation 18 Stereo
modulation_19_amount,modulation_19_amount,0,-1,1,Modulation 19 Amount,260,Modulation 19 Amount,260,Modulation 19 Amount
modulation_19_bipolar,modulation_19_bipolar,0,0,1,Modulation 19 Bipolar,261,Modulation 19 Bipolar,261,Modulation 19 Bipolar
modulation_19_bypass,modulation_19_bypass,0,0,1,Modulation 19 Bypass,262,Modulation 19 Bypass,262,Modulation 19 Bypass
modulation_19_power,modulation_19_power,0,-10,10,Modulation 19 Power,263,Modulation 19 Power,263,Modulation 19 Power
modulation_19_stereo,modulation_19_stereo,0,0,1,Modulation 19 Stereo,264,Modulation 19 Stereo,264,Modulation 19 Stereo
modulation_2_amount,modulation_2_amount,0,-1,1,Modulation 2 Amount,320,Modulation 2 Amount,320,Modulation 2 Amount
modulation_2_bipolar,modulation_2_bipolar,0,0,1,Modulation 2 Bipolar,321,Modulation 2 Bipolar,321,Modulation 2 Bipolar
modulation_2_bypass,modulation_2_bypass,0,0,1,Modulation 2 Bypass,322,Modulation 2 Bypass,322,Modulation 2 Bypass
modulation_2_power,modulation_2_power,0,-10,10,Modulation 2 Power,323,Modulation 2 Power,323,Modulation 2 Power
modulation_2_stereo,modulation_2_stereo,0,0,1,Modulation 2 Stereo,324,Modulation 2 Stereo,324,Modulation 2 Stereo
modulation_20_amount,modulation_20_amount,0,-1,1,Modulation 20 Amount,270,Modulation 20 Amount,270,Modulation 20 Amount
modulation_20_bipolar,modulation_20_bipolar,0,0,1,Modulation 20 Bipolar,271,Modulation 20 Bipolar,271,Modulation 20 Bipolar
modulation_20_bypass,modulation_20_bypass,0,0,1,Modulation 20 Bypass,272,Modulation 20 Bypass,272,Modulation 20 Bypass
modulation_20_power,modulation_20_power,0,-10,10,Modulation 20 Power,273,Modulation 20 Power,273,Modulation 20 Power
modulation_20_stereo,modulation_20_stereo,0,0,1,Modulation 20 Stereo,274,Modulation 20 Stereo,274,Modulation 20 Stereo
modulation_21_amount,modulation_21_amount,0,-1,1,Modulation 21 Amount,275,Modulation 21 Amount,275,Modulation 21 Amount
modulation_21_bipolar,modulation_21_bipolar,0,0,1,Modulation 21 Bipolar,276,Modulation 21 Bipolar,276,Modulation 21 Bipolar
modulation_21_bypass,modulation_21_bypass,0,0,1,Modulation 21 Bypass,277,Modulation 21 Bypass,277,Modulation 21 Bypass
modulation_21_power,modulation_21_power,0,-10,10,Modulation 21 Power,278,Modulation 21 Power,278,Modulation 21 Power
modulation_21_stereo,modulation_21_stereo,0,0,1,Modulation 21 Stereo,279,Modulation 21 Stereo,279,Modulation 21 Stereo
modulation_22_amount,modulation_22_amount,0,-1,1,Modulation 22 Amount,280,Modulation 22 Amount,280,Modulation 22 Amount
modulation_22_bipolar,modulation_22_bipolar,0,0,1,Modulation 22 Bipolar,281,Modulation 22 Bipolar,281,Modulation 22 Bipolar
modulation_22_bypass,modulation_22_bypass,0,0,1,Modulation 22 Bypass,282,Modulation 22 Bypass,282,Modulation 22 Bypass
modulation_22_power,modulation_22_power,0,-10,10,Modulation 22 Power,283,Modulation 22 Power,283,Modulation 22 Power
modulation_22_stereo,modulation_22_stereo,0,0,1,Modulation 22 Stereo,284,Modulation 22 Stereo,284,Modulation 22 Stereo
modulation_23_amount,modulation_23_amount,0,-1,1,Modulation 23 Amount,285,Modulation 23 Amount,285,Modulation 23 Amount
modulation_23_bipolar,modulation_23_bipolar,0,0,1,Modulation 23 Bipolar,286,Modulation 23 Bipolar,286,Modulation 23 Bipolar
modulation_23_bypass,modulation_23_bypass,0,0,1,Modulation 23 Bypass,287,Modulation 23 Bypass,287,Modulation 23 Bypass
modulation_23_power,modulation_23_power,0,-10,10,Modulation 23 Power,288,Modulation 23 Power,288,Modulation 23 Power
modulation_23_stereo,modulation_23_stereo,0,0,1,Modulation 23 Stereo,289,Modulation 23 Stereo,289,Modulation 23 Stereo
modulation_24_amount,modulation_24_amount,0,-1,1,Modulation 24 Amount,290,Modulation 24 Amount,290,Modulation 24 Amount
modulation_24_bipolar,modulation_24_bipolar,0,0,1,Modulation 24 Bipolar,291,Modulation 24 Bipolar,291,Modulation 24 Bipolar
modulation_24_bypass,modulation_24_bypass,0,0,1,Modulation 24 Bypass,292,Modulation 24 Bypass,292,Modulation 24 Bypass
modulation_24_power,modulation_24_power,0,-10,10,Modulation 24 Power,293,Modulation 24 Power,293,Modulation 24 Power
modulation_24_stereo,modulation_24_stereo,0,0,1,Modulation 24 Stereo,294,Modulation 24 Stereo,294,Modulation 24 Stereo
modulation_25_amount,modulation_25_amount,0,-1,1,Modulation 25 Amount,295,Modulation 25 Amount,295,Modulation 25 Amount
modulation_25_bipolar,modulation_25_bipolar,0,0,1,Modulation 25 Bipolar,296,Modulation 25 Bipolar,296,Modulation 25 Bipolar
modulation_25_bypass,modulation_25_bypass,0,0,1,Modulation 25 Bypass,297,Modulation 25 Bypass,297,Modulation 25 Bypass
modulation_25_power,modulation_25_power,0,-10,10,Modulation 25 Power,298,Modulation 25 Power,298,Modulation 25 Power
modulation_25_stereo,modulation_25_stereo,0,0,1,Modulation 25 Stereo,299,Modulation 25 Stereo,299,Modulation 25 Stereo
modulation_26_amount,modulation_26_amount,0,-1,1,Modulation 26 Amount,300,Modulation 26 Amount,300,Modulation 26 Amount
modulation_26_bipolar,modulation_26_bipolar,0,0,1,Modulation 26 Bipolar,301,Modulation 26 Bipolar,301,Modulation 26 Bipolar
modulation_26_bypass,modulation_26_bypass,0,0,1,Modulation 26 Bypass,302,Modulation 26 Bypass,302,Modulation 26 Bypass
modulation_26_power,modulation_26_power,0,-10,10,Modulation 26 Power,303,Modulation 26 Power,303,Modulation 26 Power
modulation_26_stereo,modulation_26_stereo,0,0,1,Modulation 26 Stereo,304,Modulation 26 Stereo,304,Modulation 26 Stereo
modulation_27_amount,modulation_27_amount,0,-1,1,Modulation 27 Amount,305,Modulation 27 Amount,305,Modulation 27 Amount
modulation_27_bipolar,modulation_27_bipolar,0,0,1,Modulation 27 Bipolar,306,Modulation 27 Bipolar,306,Modulation 27 Bipolar
modulation_27_bypass,modulation_27_bypass,0,0,1,Modulation 27 Bypass,307,Modulation 27 Bypass,307,Modulation 27 Bypass
modulation_27_power,modulation_27_power,0,-10,10,Modulation 27 Power,308,Modulation 27 Power,308,Modulation 27 Power
modulation_27_stereo,modulation_27_stereo,0,0,1,Modulation 27 Stereo,309,Modulation 27 Stereo,309,Modulation 27 Stereo
modulation_28_amount,modulation_28_amount,0,-1,1,Modulation 28 Amount,310,Modulation 28 Amount,310,Modulation 28 Amount
modulation_28_bipolar,modulation_28_bipolar,0,0,1,Modulation 28 Bipolar,311,Modulation 28 Bipolar,311,Modulation 28 Bipolar
modulation_28_bypass,modulation_28_bypass,0,0,1,Modulation 28 Bypass,312,Modulation 28 Bypass,312,Modulation 28 Bypass
modulation_28_power,modulation_28_power,0,-10,10,Modulation 28 Power,313,Modulation 28 Power,313,Modulation 28 Power
modulation_28_stereo,modulation_28_stereo,0,0,1,Modulation 28 Stereo,314,Modulation 28 Stereo,314,Modulation 28 Stereo
modulation_29_amount,modulation_29_amount,0,-1,1,Modulation 29 Amount,315,Modulation 29 Amount,315,Modulation 29 Amount
modulation_29_bipolar,modulation_29_bipolar,0,0,1,Modulation 29 Bipolar,316,Modulation 29 Bipolar,316,Modulation 29 Bipolar
modulation_29_bypass,modulation_29_bypass,0,0,1,Modulation 29 Bypass,317,Modulation 29 Bypass,317,Modulation 29 Bypass
modulation_29_power,modulation_29_power,0,-10,10,Modulation 29 Power,318,Modulation 29 Power,318,Modulation 29 Power
modulation_29_stereo,modulation_29_stereo,0,0,1,Modulation 29 Stereo,319,Modulation 29 Stereo,319,Modulation 29 Stereo
modulation_3_amount,modulation_3_amount,0,-1,1,Modulation 3 Amount,340,Modulation 3 Amount,340,Modulation 3 Amount
modulation_3_bipolar,modulation_3_bipolar,0,0,1,Modulation 3 Bipolar,341,Modulation 3 Bipolar,341,Modulation 3 Bipolar
modulation_3_bypass,modulation_3_bypass,0,0,1,Modulation 3 Bypass,342,Modulation 3 Bypass,342,Modulation 3 Bypass
modulation_3_power,modulation_3_power,0,-10,10,Modulation 3 Power,343,Modulation 3 Power,343,Modulation 3 Power
modulation_3_stereo,modulation_3_stereo,0,0,1,Modulation 3 Stereo,344,Modulation 3 Stereo,344,Modulation 3 Stereo
modulation_30_amount,modulation_30_amount,0,-1,1,Modulation 30 Amount,325,Modulation 30 Amount,325,Modulation 30 Amount
modulation_30_bipolar,modulation_30_bipolar,0,0,1,Modulation 30 Bipolar,326,Modulation 30 Bipolar,326,Modulation 30 Bipolar
modulation_30_bypass,modulation_30_bypass,0,0,1,Modulation 30 Bypass,327,Modulation 30 Bypass,327,Modulation 30 Bypass
modulation_30_power,modulation_30_power,0,-10,10,Modulation 30 Power,328,Modulation 30 Power,328,Modulation 30 Power
modulation_30_stereo,modulation_30_stereo,0,0,1,Modulation 30 Stereo,329,Modulation 30 Stereo,329,Modulation 30 Stereo
modulation_31_amount,modulation_31_amount,0,-1,1,Modulation 31 Amount,330,Modulation 31 Amount,330,Modulation 31 Amount
modulation_31_bipolar,modulation_31_bipolar,0,0,1,Modulation 31 Bipolar,331,Modulation 31 Bipolar,331,Modulation 31 Bipolar
modulation_31_bypass,modulation_31_bypass,0,0,1,Modulation 31 Bypass,332,Modulation 31 Bypass,332,Modulation 31 Bypass
modulation_31_power,modulation_31_power,0,-10,10,Modulation 31 Power,333,Modulation 31 Power,333,Modulation 31 Power
modulation_31_stereo,modulation_31_stereo,0,0,1,Modulation 31 Stereo,334,Modulation 31 Stereo,334,Modulation 31 Stereo
modulation_32_amount,modulation_32_amount,0,-1,1,Modulation 32 Amount,335,Modulation 32 Amount,335,Modulation 32 Amount
modulation_32_bipolar,modulation_32_bipolar,0,0,1,Modulation 32 Bipolar,336,Modulation 32 Bipolar,336,Modulation 32 Bipolar
modulation_32_bypass,modulation_32_bypass,0,0,1,Modulation 32 Bypass,337,Modulation 32 Bypass,337,Modulation 32 Bypass
modulation_32_power,modulation_32_power,0,-10,10,Modulation 32 Power,338,Modulation 32 Power,338,Modulation 32 Power
modulation_32_stereo,modulation_32_stereo,0,0,1,Modulation 32 Stereo,339,Modulation 32 Stereo,339,Modulation 32 Stereo
modulation_33_amount,modulation_33_amount,0,-1,1,Modulation 33 Amount,560,Modulation 33 Amount,560,Modulation 33 Amount
modulation_33_bipolar,modulation_33_bipolar,0,0,1,Modulation 33 Bipolar,561,Modulation 33 Bipolar,561,Modulation 33 Bipolar
modulation_33_bypass,modulation_33_bypass,0,0,1,Modulation 33 Bypass,562,Modulation 33 Bypass,562,Modulation 33 Bypass
modulation_33_power,modulation_33_power,0,-10,10,Modulation 33 Power,563,Modulation 33 Power,563,Modulation 33 Power
modulation_33_stereo,modulation_33_stereo,0,0,1,Modulation 33 Stereo,564,Modulation 33 Stereo,564,Modulation 33 Stereo
modulation_34_amount,modulation_34_amount,0,-1,1,Modulation 34 Amount,565,Modulation 34 Amount,565,Modulation 34 Amount
modulation_34_bipolar,modulation_34_bipolar,0,0,1,Modulation 34 Bipolar,566,Modulation 34 Bipolar,566,Modulation 34 Bipolar
modulation_34_bypass,modulation_34_bypass,0,0,1,Modulation 34 Bypass,567,Modulation 34 Bypass,567,Modulation 34 Bypass
modulation_34_power,modulation_34_power,0,-10,10,Modulation 34 Power,568,Modulation 34 Power,568,Modulation 34 Power
modulation_34_stereo,modulation_34_stereo,0,0,1,Modulation 34 Stereo,569,Modulation 34 Stereo,569,Modulation 34 Stereo
modulation_35_amount,modulation_35_amount,0,-1,1,Modulation 35 Amount,570,Modulation 35 Amount,570,Modulation 35 Amount
modulation_35_bipolar,modulation_35_bipolar,0,0,1,Modulation 35 Bipolar,571,Modulation 35 Bipolar,571,Modulation 35 Bipolar
modulation_35_bypass,modulation_35_bypass,0,0,1,Modulation 35 Bypass,572,Modulation 35 Bypass,572,Modulation 35 Bypass
modulation_35_power,modulation_35_power,0,-10,10,Modulation 35 Power,573,Modulation 35 Power,573,Modulation 35 Power
modulation_35_stereo,modulation_35_stereo,0,0,1,Modulation 35 Stereo,574,Modulation 35 Stereo,574,Modulation 35 Stereo
modulation_36_amount,modulation_36_amount,0,-1,1,Modulation 36 Amount,575,Modulation 36 Amount,575,Modulation 36 Amount
modulation_36_bipolar,modulation_36_bipolar,0,0,1,Modulation 36 Bipolar,576,Modulation 36 Bipolar,576,Modulation 36 Bipolar
modulation_36_bypass,modulation_36_bypass,0,0,1,Modulation 36 Bypass,577,Modulation 36 Bypass,577,Modulation 36 Bypass
modulation_36_power,modulation_36_power,0,-10,10,Modulation 36 Power,578,Modulation 36 Power,578,Modulation 36 Power
modulation_36_stereo,modulation_36_stereo,0,0,1,Modulation 36 Stereo,579,Modulation 36 Stereo,579,Modulation 36 Stereo
