id;name
0;Bass 1
1;Bass 2
2;Snare 1
3;Snare 2
4;Tom 1
5;Hi-Hat Close
6;Hi-Hat Open
7;Crash
8;Perc 1
9;Perc 2
10;Bass 3
11;Tom 2
