id;name
-14;Ride Cymbal
-15;Crash Cymbal
-16;Open Hi-Hat 1
-17;Open Hi-Hat 2
-18;Closed Hi-Hat 1
-19;Closed Hi-Hat 2
-20;Clap
-21;Rim
-22;High Tom 1
-23;High Tom 2
-24;Mid Tom 1
-25;Mid Tom 2
-26;Low Tom 1
-27;Low Tom 2
-28;Snare Drum 1
-29;Snare Drum 2
-30;Snare Drum 3
-31;Kick Drum 1
-32;Kick Drum 2
-33;Kick Drum 3
