cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
mode,mode,0.0,0.0,1.0,Mode,0,Mode,0,Mode
log,log,0.0,0.0,1.0,Log,1,Log,1,Log
