cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
room,room,0.300000011920929,0.0,1.0,Room,0,Room,0,Room
damp,damp,0.6000000238418579,0.0,1.0,Damp,1,Damp,1,Damp
predelay,predelay,0.300000011920929,0.0,1.0,PreDelay,2,PreDelay,2,PreDelay
lp,lp,0.8999999761581421,0.0,1.0,LP,3,LP,3,LP
hp,hp,0.1000000014901161,0.0,1.0,HP,4,HP,4,HP
wet,wet,0.4000000059604645,0.0,1.0,Wet,5,Wet,5,Wet
dry,dry,0.300000011920929,0.0,1.0,Dry,6,Dry,6,Dry
