cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
env3decay,env3decay,0.1000000014901161,0.0,60.0,LFO3 Phase,58,LFO3 Phase,58,LFO3 Phase
env3sustain,env3sustain,80.0,0.0,100.0,LFO3 Offset,59,LFO3 Offset,59,LFO3 Offset
env3release,env3release,0.1000000014901161,0.0,60.0,LFO3 Fade,60,LFO3 Fade,60,LFO3 Fade
lfo1enable,lfo1enable,0.0,0.0,0.0,LFO3 Delay,61,LFO3 Delay,61,LFO3 Delay
lfo1sync,lfo1sync,0.0,0.0,0.0,Vel,62,Vel,62,Vel
lfo1retrig,lfo1retrig,1.0,1.0,1.0,Attack,63,Attack,63,Attack
lfo1wave,lfo1wave,1.0,1.0,1.0,Decay,64,Decay,64,Decay
lfo1rate,lfo1rate,10.0,0.0,50.0,Sustain,65,Sustain,65,Sustain
lfo1beat,lfo1beat,13.0,13.0,13.0,Release,66,Release,66,Release
lfo1depth,lfo1depth,1.0,-1.0,1.0,Glide Rate,67,Glide Rate,67,Glide Rate
lfo1phase,lfo1phase,0.0,-1.0,1.0,Level,68,Level,68,Level
lfo1offset,lfo1offset,0.0,-1.0,1.0,GateAttack,69,GateAttack,69,GateAttack
lfo1fade,lfo1fade,0.0,-60.0,60.0,GateRelease,70,GateRelease,70,GateRelease
lfo1delay,lfo1delay,0.0,0.0,60.0,Delay,71,Delay,71,Delay
lfo2enable,lfo2enable,0.0,0.0,0.0,Depth,72,Depth,72,Depth
lfo2sync,lfo2sync,0.0,0.0,0.0,Speed,73,Speed,73,Speed
lfo2retrig,lfo2retrig,1.0,1.0,1.0,Width,74,Width,74,Width
lfo2wave,lfo2wave,1.0,1.0,1.0,Mix,75,Mix,75,Mix
lfo2rate,lfo2rate,10.0,0.0,50.0,Amount,76,Amount,76,Amount
lfo2beat,lfo2beat,13.0,13.0,13.0,Sync,77,Sync,77,Sync
lfo2depth,lfo2depth,1.0,-1.0,1.0,Delay,78,Delay,78,Delay
lfo2phase,lfo2phase,0.0,-1.0,1.0,Delay,79,Delay,79,Delay
lfo2offset,lfo2offset,0.0,-1.0,1.0,FB,80,FB,80,FB
lfo2fade,lfo2fade,0.0,-60.0,60.0,CF,81,CF,81,CF
lfo2delay,lfo2delay,0.0,0.0,60.0,Mix,82,Mix,82,Mix
lfo3enable,lfo3enable,0.0,0.0,0.0,Size,83,Size,83,Size
lfo3sync,lfo3sync,0.0,0.0,0.0,Decay,84,Decay,84,Decay
lfo3retrig,lfo3retrig,1.0,1.0,1.0,Lowpass,85,Lowpass,85,Lowpass
lfo3wave,lfo3wave,1.0,1.0,1.0,Damping,86,Damping,86,Damping
lfo3rate,lfo3rate,10.0,0.0,50.0,Predelay,87,Predelay,87,Predelay
lfo3beat,lfo3beat,13.0,13.0,13.0,Mix,88,Mix,88,Mix
